METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52258;"{""coordinates"": [-123.14457640006114, 49.268841231085965], ""type"": ""Point""}";Fairview;B31722
Single;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54285;"{""coordinates"": [-123.10127420318113, 49.26738092763627], ""type"": ""Point""}";Mount Pleasant;A40133
Pay Station;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;67833;"{""coordinates"": [-123.09623951803876, 49.282281999824534], ""type"": ""Point""}";Strathcona;050327C
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;66896;"{""coordinates"": [-123.12224913508707, 49.27885239253556], ""type"": ""Point""}";Downtown;140607
Twin;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56637;"{""coordinates"": [-123.10850961886499, 49.267517634752146], ""type"": ""Point""}";Mount Pleasant;B40127
Twin;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;57295;"{""coordinates"": [-123.10850961886499, 49.267517634752146], ""type"": ""Point""}";Mount Pleasant;B40129
Single Motorbike;$ .50;$ .50;$ .50;$ .50;$ .50;$ .50;$ .50;METER IN EFFECT: 9:00 AM TO 10:00 PM;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No;66159;"{""coordinates"": [-123.11374194324006, 49.281631091563796], ""type"": ""Point""}";Downtown;580697
Single Motorbike;$2.50;$ .50;$2.50;$ .50;$2.50;$ .50;$2.50;METER IN EFFECT: 9:00 AM TO 10:00 PM;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No;54310;"{""coordinates"": [-123.11736016250481, 49.26317597635238], ""type"": ""Point""}";Fairview;300598
Twin;$4.00;$5.00;$4.00;$5.00;$4.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61487;"{""coordinates"": [-123.12309932116754, 49.27453148874909], ""type"": ""Point""}";Downtown;571210
Twin;$2.00;$4.00;$2.00;$4.00;$2.00;$4.00;$ .50;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;66757;"{""coordinates"": [-123.14089891136157, 49.28657815446172], ""type"": ""Point""}";West End;161714
