index,METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,latln,level_0
578,Single,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51229,"{""coordinates"": [-123.13954219106523, 49.2696272143503], ""type"": ""Point""}",Fairview,B21532,"(49.2696272143503, -123.13954219106523)",
581,Single,$2.00,$4.00,$2.00,$4.00,$2.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54347,"{""coordinates"": [-123.06980190286147, 49.27581107961692], ""type"": ""Point""}",Grandview-Woodland,1C1619,"(49.27581107961692, -123.06980190286147)",
592,Single,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51770,"{""coordinates"": [-123.12333459975056, 49.26421443866208], ""type"": ""Point""}",Fairview,B80826,"(49.26421443866208, -123.12333459975056)",
619,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54575,"{""coordinates"": [-123.11564677225499, 49.255093966605386], ""type"": ""Point""}",South Cambie,D80505,"(49.255093966605386, -123.11564677225499)",
627,Single,$3.00,$2.00,$3.00,$2.00,$3.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,64568,"{""coordinates"": [-123.13247383475945, 49.27438738076751], ""type"": ""Point""}",Downtown,621513,"(49.27438738076751, -123.13247383475945)",
649,Single,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52353,"{""coordinates"": [-123.13392994190187, 49.26437849910939], ""type"": ""Point""}",Fairview,B81302,"(49.26437849910939, -123.13392994190187)",
670,Single,$7.00,$1.00,$7.00,$1.00,$7.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54244,"{""coordinates"": [-123.11981213069825, 49.26298454240224], ""type"": ""Point""}",Fairview,812502,"(49.26298454240224, -123.11981213069825)",
671,Single,$5.00,$3.00,$5.00,$3.00,$5.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53740,"{""coordinates"": [-123.15752068727917, 49.23467599787735], ""type"": ""Point""}",Arbutus-Ridge,K12137,"(49.23467599787735, -123.15752068727917)",
676,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51559,"{""coordinates"": [-123.12921336799832, 49.26336053038982], ""type"": ""Point""}",Fairview,301102,"(49.26336053038982, -123.12921336799832)",
696,Single,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53015,"{""coordinates"": [-123.11307140640619, 49.261916993040515], ""type"": ""Point""}",Mount Pleasant,792605,"(49.261916993040515, -123.11307140640619)",
