index,METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,latln,level_0
5455,Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52596,"{""coordinates"": [-123.14379842504992, 49.26464989762941], ""type"": ""Point""}",Fairview,B81705,"(49.26464989762941, -123.14379842504992)",
5459,Single,$3.00,$2.00,$3.00,$2.00,$3.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,3 Hr,3 Hr,3 Hr,,No,61625,"{""coordinates"": [-123.1180852294096, 49.273567732885965], ""type"": ""Point""}",Downtown,341049,"(49.273567732885965, -123.1180852294096)",
5487,Single,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52697,"{""coordinates"": [-123.16138157120726, 49.23504084155227], ""type"": ""Point""}",Arbutus-Ridge,975647,"(49.23504084155227, -123.16138157120726)",
5517,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,52656,"{""coordinates"": [-123.16473676146944, 49.264214008632806], ""type"": ""Point""}",Kitsilano,2M2421,"(49.264214008632806, -123.16473676146944)",
5530,Single,$3.00,$2.00,$3.00,$2.00,$3.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,64325,"{""coordinates"": [-123.09984300417379, 49.28022738516194], ""type"": ""Point""}",Downtown,510501,"(49.28022738516194, -123.09984300417379)",
5551,Single,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52860,"{""coordinates"": [-123.14000926448036, 49.266266240174254], ""type"": ""Point""}",Fairview,B61523,"(49.266266240174254, -123.14000926448036)",
5569,Single,$3.00,$3.00,$3.00,$3.00,$3.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50443,"{""coordinates"": [-123.07000448450559, 49.27219081649196], ""type"": ""Point""}",Grandview-Woodland,5C1633,"(49.27219081649196, -123.07000448450559)",
5578,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53826,"{""coordinates"": [-123.11477242046794, 49.25697258129725], ""type"": ""Point""}",Mount Pleasant,D60445,"(49.25697258129725, -123.11477242046794)",
5579,Single,$1.00,$3.00,$1.00,$3.00,$1.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,61867,"{""coordinates"": [-123.13174677825248, 49.289179866025805], ""type"": ""Point""}",West End,121517,"(49.289179866025805, -123.13174677825248)",
5587,Single,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,64212,"{""coordinates"": [-123.12878137845266, 49.291686113534794], ""type"": ""Point""}",Downtown,700502,"(49.291686113534794, -123.12878137845266)",
5589,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65576,"{""coordinates"": [-123.12531278597767, 49.28947933827763], ""type"": ""Point""}",Downtown,061302,"(49.28947933827763, -123.12531278597767)",
5594,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53520,"{""coordinates"": [-123.20511687671981, 49.263690830035536], ""type"": ""Point""}",West Point Grey,D04346,"(49.263690830035536, -123.20511687671981)",
5617,Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50914,"{""coordinates"": [-123.11019317257427, 49.26561962805609], ""type"": ""Point""}",Mount Pleasant,B60216,"(49.26561962805609, -123.11019317257427)",
5618,Single,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54750,"{""coordinates"": [-123.11593395127296, 49.26220240765437], ""type"": ""Point""}",Fairview,D00510,"(49.26220240765437, -123.11593395127296)",
5629,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52873,"{""coordinates"": [-123.10081085830564, 49.26256073124991], ""type"": ""Point""}",Mount Pleasant,512506,"(49.26256073124991, -123.10081085830564)",
5633,Single,$2.00,$4.00,$2.00,$4.00,$2.00,$4.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,64106,"{""coordinates"": [-123.14092956983592, 49.28676894064601], ""type"": ""Point""}",West End,161717,"(49.28676894064601, -123.14092956983592)",
5681,Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54375,"{""coordinates"": [-123.1391944264488, 49.26872921134473], ""type"": ""Point""}",Fairview,B31508,"(49.26872921134473, -123.1391944264488)",
5683,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51497,"{""coordinates"": [-123.07019533359878, 49.2678497906706], ""type"": ""Point""}",Grandview-Woodland,A31631,"(49.2678497906706, -123.07019533359878)",
5706,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56078,"{""coordinates"": [-123.14714281694256, 49.26362597223534], ""type"": ""Point""}",Kitsilano,301826,"(49.26362597223534, -123.14714281694256)",
5713,Single,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52644,"{""coordinates"": [-123.11569944911304, 49.26230905603525], ""type"": ""Point""}",Fairview,D00507,"(49.26230905603525, -123.11569944911304)",
5723,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54601,"{""coordinates"": [-123.10123768856411, 49.260471193758114], ""type"": ""Point""}",Mount Pleasant,512717,"(49.260471193758114, -123.10123768856411)",
5730,Single,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,53564,"{""coordinates"": [-123.15506077621218, 49.267997190683545], ""type"": ""Point""}",Kitsilano,952002,"(49.267997190683545, -123.15506077621218)",
5734,Single,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,54683,"{""coordinates"": [-123.15523461958445, 49.26781306834119], ""type"": ""Point""}",Kitsilano,952005,"(49.26781306834119, -123.15523461958445)",
5742,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56056,"{""coordinates"": [-123.14612173492334, 49.26360957451363], ""type"": ""Point""}",Kitsilano,301804,"(49.26360957451363, -123.14612173492334)",
5747,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52380,"{""coordinates"": [-123.13830080020416, 49.266616079326795], ""type"": ""Point""}",Fairview,612102,"(49.266616079326795, -123.13830080020416)",
5757,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,4 Hr,4 Hr,4 Hr,4 Hr,,No,54392,"{""coordinates"": [-123.1107355000462, 49.268763291969165], ""type"": ""Point""}",Mount Pleasant,B20233,"(49.268763291969165, -123.1107355000462)",
5765,Single,$4.00,$3.00,$4.00,$3.00,$4.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,50691,"{""coordinates"": [-123.15742945981827, 49.26798408387871], ""type"": ""Point""}",Kitsilano,962004,"(49.26798408387871, -123.15742945981827)",
5790,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,50526,"{""coordinates"": [-123.14653557920656, 49.265529068230784], ""type"": ""Point""}",Kitsilano,B71813,"(49.265529068230784, -123.14653557920656)",
5819,Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,65298,"{""coordinates"": [-123.12556888636281, 49.27457121672283], ""type"": ""Point""}",Downtown,170412,"(49.27457121672283, -123.12556888636281)",
5827,Single,$2.00,$4.00,$2.00,$4.00,$2.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,63587,"{""coordinates"": [-123.12471664361635, 49.2825657814599], ""type"": ""Point""}",West End,131005,"(49.2825657814599, -123.12471664361635)",
5836,Single,$5.00,$6.00,$5.00,$6.00,$5.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,66187,"{""coordinates"": [-123.14068804614512, 49.28810764435064], ""type"": ""Point""}",West End,721121,"(49.28810764435064, -123.14068804614512)",
5861,Single,$7.00,$5.00,$7.00,$5.00,$7.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,63323,"{""coordinates"": [-123.11931584655724, 49.2881486352709], ""type"": ""Point""}",Downtown,650302,"(49.2881486352709, -123.11931584655724)",
5881,Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53118,"{""coordinates"": [-123.11625797677617, 49.264931020829636], ""type"": ""Point""}",Fairview,B70518,"(49.264931020829636, -123.11625797677617)",
5896,Single,$3.00,$3.00,$3.00,$3.00,$3.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,61429,"{""coordinates"": [-123.11945255408615, 49.28040316326603], ""type"": ""Point""}",Downtown,600813,"(49.28040316326603, -123.11945255408615)",
5901,Single,$1.00,$2.00,$1.00,$2.00,$1.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,61701,"{""coordinates"": [-123.12128250104442, 49.27919165701666], ""type"": ""Point""}",Downtown,600921,"(49.27919165701666, -123.12128250104442)",
5919,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53791,"{""coordinates"": [-123.10515890153079, 49.26292135947816], ""type"": ""Point""}",Mount Pleasant,300002,"(49.26292135947816, -123.10515890153079)",
5938,Single,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54791,"{""coordinates"": [-123.10113282808227, 49.245311295236455], ""type"": ""Point""}",Riley Park,514410,"(49.245311295236455, -123.10113282808227)",
5940,Single,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52005,"{""coordinates"": [-123.07004625531916, 49.266040136961145], ""type"": ""Point""}",Grandview-Woodland,A51635,"(49.266040136961145, -123.07004625531916)",
5944,Single,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51412,"{""coordinates"": [-123.12524835270838, 49.26424035506257], ""type"": ""Point""}",Fairview,B80912,"(49.26424035506257, -123.12524835270838)",
5950,Single,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,63125,"{""coordinates"": [-123.10750713937564, 49.28076795535235], ""type"": ""Point""}",Downtown,540506,"(49.28076795535235, -123.10750713937564)",
5963,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54285,"{""coordinates"": [-123.10127420318113, 49.26738092763627], ""type"": ""Point""}",Mount Pleasant,A40133,"(49.26738092763627, -123.10127420318113)",
6000,Single,$1.00,$3.00,$1.00,$3.00,$1.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,61510,"{""coordinates"": [-123.12385045671638, 49.2774929901872], ""type"": ""Point""}",Downtown,601101,"(49.2774929901872, -123.12385045671638)",
6009,Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,61021,"{""coordinates"": [-123.1141589125677, 49.27882463386876], ""type"": ""Point""}",Downtown,560721,"(49.27882463386876, -123.1141589125677)",
6018,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,50667,"{""coordinates"": [-123.16477314588519, 49.26357888601945], ""type"": ""Point""}",Kitsilano,2M2509,"(49.26357888601945, -123.16477314588519)",
6044,Single,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51332,"{""coordinates"": [-123.07012909514756, 49.26050951971054], ""type"": ""Point""}",Kensington-Cedar Cottage,C11635,"(49.26050951971054, -123.07012909514756)",
6048,Single,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50128,"{""coordinates"": [-123.12885444252365, 49.264664291666335], ""type"": ""Point""}",Fairview,852310,"(49.264664291666335, -123.12885444252365)",
6052,Single,$5.00,$3.00,$5.00,$3.00,$5.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,64553,"{""coordinates"": [-123.12120212639635, 49.27380033239622], ""type"": ""Point""}",Downtown,160132,"(49.27380033239622, -123.12120212639635)",
6053,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,60759,"{""coordinates"": [-123.11505965990052, 49.275647081858395], ""type"": ""Point""}",Downtown,280903,"(49.275647081858395, -123.11505965990052)",
6055,Single,$5.00,$3.00,$5.00,$3.00,$5.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,62553,"{""coordinates"": [-123.1210797732807, 49.273721383950694], ""type"": ""Point""}",Downtown,160130,"(49.273721383950694, -123.1210797732807)",
6063,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,61047,"{""coordinates"": [-123.12391130593673, 49.277678963365275], ""type"": ""Point""}",Downtown,150604,"(49.277678963365275, -123.12391130593673)",
6068,Single,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,64037,"{""coordinates"": [-123.12363163265157, 49.27957635609013], ""type"": ""Point""}",Downtown,140710,"(49.27957635609013, -123.12363163265157)",
6074,Single,$6.00,$4.00,$6.00,$4.00,$6.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,63058,"{""coordinates"": [-123.1378408281207, 49.288774487414514], ""type"": ""Point""}",West End,141720,"(49.288774487414514, -123.1378408281207)",
6088,Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,56608,"{""coordinates"": [-123.14586239109869, 49.26436153274442], ""type"": ""Point""}",Kitsilano,642405,"(49.26436153274442, -123.14586239109869)",
6104,Single,$2.00,$6.00,$2.00,$6.00,$2.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,64274,"{""coordinates"": [-123.13374218722105, 49.29060524162112], ""type"": ""Point""}",West End,710721,"(49.29060524162112, -123.13374218722105)",
6106,Single,$3.00,$6.00,$3.00,$6.00,$3.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,64135,"{""coordinates"": [-123.13747625170072, 49.29021601944157], ""type"": ""Point""}",West End,720909,"(49.29021601944157, -123.13747625170072)",
6107,Single,$4.00,$6.00,$4.00,$6.00,$4.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,64248,"{""coordinates"": [-123.13959768479664, 49.28881028403822], ""type"": ""Point""}",West End,721027,"(49.28881028403822, -123.13959768479664)",
6133,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54592,"{""coordinates"": [-123.15565060147505, 49.235144028062464], ""type"": ""Point""}",Arbutus-Ridge,935609,"(49.235144028062464, -123.15565060147505)",
6137,Single,$6.00,$3.00,$6.00,$3.00,$6.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50918,"{""coordinates"": [-123.14639136052524, 49.271432585184776], ""type"": ""Point""}",Kitsilano,941602,"(49.271432585184776, -123.14639136052524)",
6146,Single,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,60060,"{""coordinates"": [-123.12348697273346, 49.27530603763657], ""type"": ""Point""}",Downtown,160402,"(49.27530603763657, -123.12348697273346)",
6153,Single,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52795,"{""coordinates"": [-123.10656773716954, 49.26725050361436], ""type"": ""Point""}",Mount Pleasant,762002,"(49.26725050361436, -123.10656773716954)",
6178,Single,$3.00,$2.00,$3.00,$2.00,$3.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65454,"{""coordinates"": [-123.10446054968827, 49.28113260773981], ""type"": ""Point""}",Downtown,530407,"(49.28113260773981, -123.10446054968827)",
6187,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$ .75,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51652,"{""coordinates"": [-123.14182688128663, 49.26715298328853], ""type"": ""Point""}",Fairview,B51615,"(49.26715298328853, -123.14182688128663)",
6248,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65037,"{""coordinates"": [-123.12912973644944, 49.288704133268595], ""type"": ""Point""}",West End,201402,"(49.288704133268595, -123.12912973644944)",
6281,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53204,"{""coordinates"": [-123.2101316237976, 49.263922944275755], ""type"": ""Point""}",West Point Grey,D04517,"(49.263922944275755, -123.2101316237976)",
6287,Single,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,63097,"{""coordinates"": [-123.10750800298992, 49.28046315289398], ""type"": ""Point""}",Downtown,540518,"(49.28046315289398, -123.10750800298992)",
6295,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52268,"{""coordinates"": [-123.1155533201733, 49.2586888366314], ""type"": ""Point""}",Fairview,D40506,"(49.2586888366314, -123.1155533201733)",
6304,Single,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,63755,"{""coordinates"": [-123.12335419056605, 49.27939451815835], ""type"": ""Point""}",Downtown,140704,"(49.27939451815835, -123.12335419056605)",
6327,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54767,"{""coordinates"": [-123.11479678520647, 49.25590542744434], ""type"": ""Point""}",Riley Park,D70441,"(49.25590542744434, -123.11479678520647)",
6335,Single,$1.00,$4.00,$1.00,$4.00,$1.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,61677,"{""coordinates"": [-123.13308946694663, 49.29004727850028], ""type"": ""Point""}",West End,121621,"(49.29004727850028, -123.13308946694663)",
6341,Single,$3.00,$5.00,$3.00,$5.00,$3.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65401,"{""coordinates"": [-123.13497158927021, 49.29126625211754], ""type"": ""Point""}",West End,121733,"(49.29126625211754, -123.13497158927021)",
6343,Single,$3.00,$5.00,$3.00,$5.00,$3.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,64053,"{""coordinates"": [-123.13450547930229, 49.29078499659514], ""type"": ""Point""}",West End,121712,"(49.29078499659514, -123.13450547930229)",
6364,Single,$7.00,$2.00,$7.00,$2.00,$7.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,60717,"{""coordinates"": [-123.11151509802333, 49.28420596336457], ""type"": ""Point""}",Downtown,590316,"(49.28420596336457, -123.11151509802333)",
6373,Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65287,"{""coordinates"": [-123.12330153644275, 49.28904152124167], ""type"": ""Point""}",Downtown,061209,"(49.28904152124167, -123.12330153644275)",
6375,Single,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,63604,"{""coordinates"": [-123.10463037464427, 49.28044605896407], ""type"": ""Point""}",Downtown,080002,"(49.28044605896407, -123.10463037464427)",
6378,Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56846,"{""coordinates"": [-123.10936555098513, 49.26605643885737], ""type"": ""Point""}",Mount Pleasant,522112,"(49.26605643885737, -123.10936555098513)",
6383,Single,$2.00,$4.00,$2.00,$4.00,$2.00,$4.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,63227,"{""coordinates"": [-123.14048970294363, 49.28630504654937], ""type"": ""Point""}",West End,161702,"(49.28630504654937, -123.14048970294363)",
6392,Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54891,"{""coordinates"": [-123.10129915870009, 49.24737307275393], ""type"": ""Point""}",Riley Park,514217,"(49.24737307275393, -123.10129915870009)",
6446,Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54669,"{""coordinates"": [-123.16003080918928, 49.23421862940621], ""type"": ""Point""}",Kerrisdale,965709,"(49.23421862940621, -123.16003080918928)",
